TIME_M,EVENT
1704186843.270000,1.000000
1704186900.260000,1.000000
1704186903.280000,1.000000
1704186906.290000,1.000000
1704186909.290000,1.000000
1704186912.260000,1.000000
1704186915.260000,1.000000
1704186918.260000,1.000000
1704186921.260000,1.000000
1704186924.260000,1.000000
1704186927.320000,1.000000
1704186936.270000,1.000000
1704186939.270000,1.000000
1704186942.260000,1.000000
1704186945.260000,1.000000
1704186948.270000,1.000000
1704186951.330000,1.000000
1704186954.260000,1.000000
1704186957.270000,1.000000
1704186960.270000,1.000000
1704186963.260000,1.000000
1704186966.260000,1.000000
1704186969.270000,1.000000
1704186972.280000,1.000000
1704186975.260000,1.000000
1704186978.270000,1.000000
1704186981.270000,1.000000
1704186984.260000,1.000000
1704186987.270000,1.000000
1704186990.270000,1.000000
1704186993.260000,1.000000
1704186996.270000,1.000000
1704186999.270000,1.000000
1704187002.270000,1.000000
1704187005.260000,1.000000
1704187011.260000,1.000000
1704187014.300000,1.000000
1704187017.260000,1.000000
1704187020.260000,1.000000
1704187023.270000,1.000000
1704187026.260000,1.000000
1704187029.270000,1.000000
1704187032.270000,1.000000
1704187035.270000,1.000000
1704187038.260000,1.000000
1704187041.260000,1.000000
1704187044.260000,1.000000
1704187047.260000,1.000000
1704187050.260000,1.000000
1704187053.300000,1.000000
1704187056.280000,1.000000
1704187059.320000,1.000000
1704187062.280000,1.000000
1704187065.280000,1.000000
1704187068.260000,1.000000
1704187071.260000,1.000000
1704187074.260000,1.000000
1704187077.260000,1.000000
1704187080.270000,1.000000
1704187083.260000,1.000000
1704187086.270000,1.000000
1704187089.260000,1.000000
1704187092.330000,1.000000
1704187095.270000,1.000000
1704187098.260000,1.000000
1704187101.260000,1.000000
1704187104.270000,1.000000
1704187107.260000,1.000000
1704187110.260000,1.000000
1704187113.270000,1.000000
1704187116.300000,1.000000
1704187119.260000,1.000000
1704187122.280000,1.000000
1704187125.270000,1.000000
1704187128.260000,1.000000
1704187131.260000,1.000000
1704187134.270000,1.000000
1704187137.270000,1.000000
1704187140.280000,1.000000
1704187143.280000,1.000000
1704187146.270000,1.000000
1704187149.290000,1.000000
1704187152.260000,1.000000
1704187155.270000,1.000000
1704187158.260000,1.000000
1704187161.260000,1.000000
1704187164.260000,1.000000
1704187167.280000,1.000000
1704187170.260000,1.000000
1704187173.290000,1.000000
