TIME_M,EVENT
1706779209.800000,1.000000
1706779212.800000,1.000000
1706779215.800000,1.000000
1706779218.850000,1.000000
1706779221.800000,1.000000
1706779224.860000,1.000000
1706779227.850000,1.000000
1706779230.800000,1.000000
1706779233.810000,1.000000
1706779236.800000,1.000000
1706779239.820000,1.000000
1706779242.810000,1.000000
1706779245.820000,1.000000
1706779248.800000,1.000000
1706779251.800000,1.000000
1706779254.800000,1.000000
1706779257.800000,1.000000
1706779260.800000,1.000000
1706779263.800000,1.000000
1706779266.800000,1.000000
1706779269.800000,1.000000
1706779272.810000,1.000000
1706779275.870000,1.000000
1706779278.800000,1.000000
1706779281.800000,1.000000
1706779284.800000,1.000000
1706779287.810000,1.000000
1706779290.810000,1.000000
1706779293.800000,1.000000
1706779299.800000,1.000000
1706779302.890000,1.000000
1706779305.800000,1.000000
1706779308.810000,1.000000
1706779311.820000,1.000000
1706779314.800000,1.000000
1706779317.870000,1.000000
1706779320.800000,1.000000
1706779323.800000,1.000000
1706779326.810000,1.000000
1706779329.800000,1.000000
1706779332.860000,1.000000
1706779335.820000,1.000000
1706779338.810000,1.000000
1706779341.840000,1.000000
1706779344.800000,1.000000
1706779347.840000,1.000000
1706779350.800000,1.000000
1706779353.800000,1.000000
1706779359.810000,1.000000
1706779362.810000,1.000000
1706779365.800000,1.000000
1706779368.830000,1.000000
1706779371.820000,1.000000
1706779374.830000,1.000000
1706779377.800000,1.000000
1706779380.800000,1.000000
1706779383.810000,1.000000
1706779386.800000,1.000000
1706779389.800000,1.000000
1706779392.800000,1.000000
1706779395.800000,1.000000
1706779398.810000,1.000000
1706779401.850000,1.000000
1706779404.810000,1.000000
1706779407.810000,1.000000
1706779410.810000,1.000000
1706779413.800000,1.000000
1706779416.800000,1.000000
1706779419.810000,1.000000
1706779422.860000,1.000000
1706779425.880000,1.000000
1706779428.800000,1.000000
1706779431.810000,1.000000
1706779434.800000,1.000000
1706779437.810000,1.000000
1706779440.800000,1.000000
1706779443.800000,1.000000
1706779446.850000,1.000000
1706779449.800000,1.000000
1706779452.850000,1.000000
1706779455.810000,1.000000
1706779458.810000,1.000000
1706779461.800000,1.000000
1706779464.800000,1.000000
1706779467.890000,1.000000
1706779470.810000,1.000000
1706779473.800000,1.000000
1706779476.850000,1.000000
1706779479.800000,1.000000
1706779482.820000,1.000000
1706779485.880000,1.000000
1706779488.820000,1.000000
1706779491.810000,1.000000
1706779494.870000,1.000000
1706779497.810000,1.000000
1706779500.890000,2.000000
1706779503.800000,1.000000
1706779533.800000,1.000000
1706779563.800000,1.000000
1706779593.800000,1.000000
1706779623.800000,1.000000
1706779653.810000,1.000000
1706779683.800000,1.000000
1706779713.800000,1.000000
1706779743.800000,1.000000
1706779773.800000,1.000000
1706780700.800000,2.000000
1706780703.800000,3.000000
1706780706.800000,2.000000
1706779800.800000,2.000000
1706779803.850000,2.000000
1706779806.810000,2.000000
1706779809.830000,2.000000
1706779812.820000,2.000000
1706779815.840000,2.000000
1706779818.810000,2.000000
1706779821.800000,2.000000
1706779824.800000,2.000000
1706779827.810000,2.000000
1706779830.820000,2.000000
1706779833.840000,2.000000
1706779836.800000,3.000000
1706779839.840000,2.000000
1706779842.800000,3.000000
1706779845.850000,3.000000
1706779848.800000,3.000000
1706779851.840000,3.000000
1706779854.810000,3.000000
1706779857.800000,3.000000
1706779860.800000,2.000000
1706779863.800000,3.000000
1706779866.800000,3.000000
1706779869.800000,3.000000
1706779872.800000,2.000000
1706779875.830000,2.000000
1706779878.820000,2.000000
1706779881.800000,2.000000
1706779884.810000,3.000000
1706779887.800000,2.000000
1706779890.840000,2.000000
1706779893.830000,3.000000
1706779896.810000,3.000000
1706779899.800000,3.000000
1706779902.800000,2.000000
1706779905.800000,2.000000
1706779908.810000,2.000000
1706779911.840000,3.000000
1706779914.810000,3.000000
1706779917.800000,3.000000
1706779920.800000,2.000000
1706779923.820000,2.000000
1706779926.800000,3.000000
1706779929.800000,2.000000
1706779932.810000,2.000000
1706779935.800000,2.000000
1706779938.800000,3.000000
1706779941.800000,3.000000
1706779944.810000,3.000000
1706779947.800000,3.000000
1706779950.800000,1.000000
1706779953.810000,3.000000
1706779956.800000,3.000000
1706779959.820000,3.000000
1706779962.840000,3.000000
1706779965.810000,3.000000
1706779968.810000,3.000000
1706779971.800000,3.000000
1706779974.810000,2.000000
1706779977.820000,3.000000
1706779980.800000,2.000000
1706779983.800000,2.000000
1706779986.840000,2.000000
1706779989.810000,2.000000
1706779992.810000,2.000000
1706779995.820000,3.000000
1706779998.810000,2.000000
1706780001.800000,3.000000
1706780004.810000,2.000000
1706780007.830000,2.000000
1706780010.820000,3.000000
1706780013.800000,2.000000
1706780016.800000,2.000000
1706780019.850000,2.000000
1706780022.800000,2.000000
1706780025.800000,2.000000
1706780028.830000,3.000000
1706780031.810000,2.000000
1706780034.810000,2.000000
1706780037.830000,2.000000
1706780040.800000,2.000000
1706780043.810000,2.000000
1706780046.810000,3.000000
1706780049.850000,2.000000
1706780052.810000,3.000000
1706780055.810000,2.000000
1706780058.800000,2.000000
1706780061.800000,2.000000
1706780064.810000,2.000000
1706780067.800000,2.000000
1706780070.830000,2.000000
1706780073.800000,2.000000
1706780076.800000,2.000000
1706780079.830000,3.000000
1706780082.810000,2.000000
1706780085.810000,3.000000
1706780088.800000,2.000000
1706780091.810000,3.000000
1706780094.800000,3.000000
1706780097.800000,2.000000
1706780100.800000,3.000000
1706780103.800000,3.000000
1706780106.890000,3.000000
1706780109.800000,3.000000
1706780112.810000,3.000000
1706780115.800000,2.000000
1706780118.800000,3.000000
1706780121.800000,2.000000
1706780124.800000,3.000000
1706780127.850000,3.000000
1706780130.800000,3.000000
1706780133.800000,2.000000
1706780136.810000,2.000000
1706780139.810000,2.000000
1706780142.810000,2.000000
1706780145.820000,3.000000
1706780148.800000,2.000000
1706780151.800000,2.000000
1706780154.800000,3.000000
1706780157.800000,2.000000
1706780160.810000,2.000000
1706780163.810000,2.000000
1706780166.810000,2.000000
1706780169.850000,3.000000
1706780172.810000,2.000000
1706780175.800000,2.000000
1706780178.860000,3.000000
1706780181.850000,2.000000
1706780184.800000,2.000000
1706780187.800000,2.000000
1706780190.800000,2.000000
1706780193.800000,3.000000
1706780196.820000,3.000000
1706780199.800000,3.000000
1706780202.800000,3.000000
1706780205.810000,2.000000
1706780208.810000,2.000000
1706780211.810000,2.000000
1706780214.820000,3.000000
1706780217.890000,2.000000
1706780220.800000,2.000000
1706780223.860000,2.000000
1706780226.800000,2.000000
1706780229.800000,3.000000
1706780232.830000,3.000000
1706780235.800000,3.000000
1706780238.800000,3.000000
1706780241.800000,2.000000
1706780244.820000,2.000000
1706780247.810000,3.000000
1706780250.810000,2.000000
1706780253.810000,2.000000
1706780256.800000,3.000000
1706780259.810000,3.000000
1706780262.810000,2.000000
1706780265.870000,2.000000
1706780268.800000,3.000000
1706780271.810000,3.000000
