TIME_M,EVENT
1706782764.000000,3.000000
1706782767.000000,2.000000
1706782770.000000,2.000000
1706782773.000000,3.000000
1706782776.000000,2.000000
1706782779.000000,3.000000
1706782782.000000,2.000000
1706782785.000000,2.000000
1706782788.000000,2.000000
1706782791.000000,3.000000
1706782794.000000,2.000000
1706782797.000000,3.000000
1706782800.000000,2.000000
1706782803.000000,3.000000
1706782806.000000,3.000000
1706782809.000000,2.000000
1706782812.000000,2.000000
1706782815.000000,2.000000
1706782818.000000,2.000000
1706782821.000000,1.000000
1706782824.000000,2.000000
1706782827.000000,3.000000
1706782830.000000,3.000000
1706782833.000000,2.000000
1706782836.000000,3.000000
1706782839.000000,3.000000
1706782842.000000,2.000000
1706782845.000000,2.000000
1706782848.000000,2.000000
1706782851.000000,3.000000
1706780727.000000,2.000000
1706780730.000000,3.000000
1706780733.000000,3.000000
1706780736.000000,3.000000
1706780739.000000,3.000000
1706780742.000000,3.000000
1706780745.000000,3.000000
1706780748.000000,3.000000
1706780751.000000,2.000000
1706780754.000000,2.000000
1706780757.000000,2.000000
1706780760.000000,3.000000
1706780763.000000,2.000000
1706780766.000000,3.000000
1706780769.000000,3.000000
1706780772.000000,3.000000
1706780775.000000,2.000000
1706780778.000000,2.000000
1706780781.000000,3.000000
1706780784.000000,3.000000
1706780787.000000,2.000000
1706780790.000000,2.000000
1706780793.000000,3.000000
1706780796.000000,2.000000
1706780799.000000,2.000000
1706780802.000000,2.000000
1706780805.000000,2.000000
1706780808.000000,2.000000
1706780811.000000,2.000000
1706780814.000000,3.000000
1706780817.000000,2.000000
1706780820.000000,2.000000
1706780823.000000,3.000000
1706780826.000000,3.000000
1706780829.000000,2.000000
1706780832.000000,2.000000
1706780835.000000,2.000000
1706780838.000000,1.000000
1706780841.000000,2.000000
1706780844.000000,3.000000
1706780847.000000,3.000000
1706780850.000000,2.000000
1706780853.000000,2.000000
1706780856.000000,2.000000
1706780859.000000,2.000000
1706780862.000000,2.000000
1706780865.000000,3.000000
1706780868.000000,2.000000
1706780871.000000,3.000000
1706780874.000000,2.000000
1706780877.000000,2.000000
1706780880.000000,2.000000
1706780883.000000,2.000000
1706780886.000000,3.000000
1706780889.000000,2.000000
1706780892.000000,2.000000
1706780895.000000,2.000000
1706780898.000000,2.000000
1706780901.000000,2.000000
1706780904.000000,2.000000
1706780907.000000,2.000000
1706780910.000000,3.000000
1706780913.000000,3.000000
1706780916.000000,2.000000
1706780919.000000,3.000000
1706780922.000000,2.000000
1706780925.000000,2.000000
1706780928.000000,2.000000
1706780931.000000,3.000000
1706780934.000000,3.000000
1706780937.000000,3.000000
1706780940.000000,3.000000
1706780943.000000,3.000000
1706780946.000000,3.000000
1706780949.000000,3.000000
1706780952.000000,3.000000
1706780955.000000,2.000000
1706780958.000000,3.000000
1706780961.000000,1.000000
1706780964.000000,3.000000
1706780967.000000,3.000000
1706780970.000000,2.000000
1706780973.000000,3.000000
1706780976.000000,3.000000
1706780979.000000,3.000000
1706780982.000000,2.000000
1706780985.000000,3.000000
1706780988.000000,3.000000
1706780991.000000,3.000000
1706780994.000000,2.000000
1706780997.000000,3.000000
1706781000.000000,3.000000
1706781003.000000,3.000000
1706781006.000000,2.000000
1706781009.000000,2.000000
1706781012.000000,2.000000
1706781015.000000,3.000000
1706781018.000000,3.000000
1706781021.000000,3.000000
1706781024.000000,3.000000
1706781027.000000,2.000000
1706781030.000000,2.000000
1706781033.000000,3.000000
1706781036.000000,2.000000
1706781039.000000,2.000000
1706781042.000000,3.000000
1706781045.000000,3.000000
1706781048.000000,3.000000
1706781051.000000,2.000000
1706781054.000000,2.000000
1706781057.000000,3.000000
1706781060.000000,3.000000
1706781063.000000,2.000000
1706781066.000000,3.000000
1706781069.000000,3.000000
1706781072.000000,2.000000
1706781075.000000,3.000000
1706781078.000000,2.000000
1706781081.000000,3.000000
1706781084.000000,2.000000
1706781087.000000,2.000000
1706781090.000000,3.000000
1706781093.000000,2.000000
1706781096.000000,3.000000
1706781099.000000,2.000000
1706781102.000000,3.000000
1706781105.000000,2.000000
1706781108.000000,3.000000
1706781111.000000,3.000000
1706781114.000000,3.000000
1706781117.000000,3.000000
1706781120.000000,2.000000
1706781123.000000,3.000000
1706781126.000000,2.000000
1706781129.000000,2.000000
1706781132.000000,3.000000
1706781135.000000,2.000000
1706781138.000000,2.000000
1706781141.000000,3.000000
1706781144.000000,3.000000
1706781147.000000,2.000000
1706781150.000000,3.000000
1706781153.000000,2.000000
1706781156.000000,3.000000
1706781159.000000,3.000000
1706781162.000000,2.000000
1706781165.000000,3.000000
1706781168.000000,3.000000
1706781171.000000,3.000000
1706781174.000000,2.000000
1706781177.000000,2.000000
